,AFFILIATION,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,mp,oreb,dreb,treb,ast,stl,blk,pts,Position,Class
1140,Texas A&M,B12,33,52.0,107.8,18.9,51.1,55.43,6.6,12.7,10.4,18.2,54,72,0.75,45,87,0.517,33,98,0.337,1.4,2.5,38.9,Fr,1.92285,111.169,79.8,0.85001237,0.6818,0.3488,1.0,95.6938,88.9265,2.70989,131.273,7.10893,3.78742,3.32151,20.9394,1.2121,2.3333,3.5455,1.0303,0.8788,0.2727,7.3636,Wing F,0
1141,Texas A&M,B12,32,73.7,107.6,27.5,50.9,56.1,8.1,13.4,23.6,21.0,113,145,0.779,117,240,0.487,38,102,0.373,0.2,2.4,42.4,So,3.76677,121.753,79.8,1.02272727,0.6087,0.4082,1.0,95.4313,92.3172,3.54006,170.44099999999997,6.6731300000000005,4.3717,2.30143,29.9375,1.9375,3.3125,5.25,2.8125,1.1562,0.0625,14.4062,Wing G,0
1142,Texas A&M,B12,19,44.3,96.0,28.6,45.1,48.32,5.7,15.8,19.0,16.5,39,52,0.75,77,160,0.481,19,74,0.257,1.1,2.1,22.2,Jr,2.6215200000000003,110.524,79.8,1.0,0.6154,0.438,0.6667,96.8178,90.5318,3.58719,98.5027,3.92283,2.03078,1.89205,29.0526,1.3684,3.7368,5.1053,2.1579,0.9474,0.2632,13.1579,Wing F,0
1143,Memphis,CUSA,35,75.6,98.8,23.1,47.8,50.18,5.4,12.9,19.5,20.6,58,83,0.6990000000000001,128,243,0.527,39,147,0.265,1.6,2.9,21.3,Fr,2.02017,104.174,97.6,1.11235197,0.6286,0.3883,1.0,97.6859,95.1807,3.33204,203.291,3.21681,1.36481,1.85201,30.5714,1.4,3.5429,4.9429,2.8286,1.5429,0.4857,12.3143,Wing G,0
1144,Memphis,CUSA,35,87.3,116.3,25.4,55.0,58.75,7.6,18.5,17.3,14.2,134,179,0.7490000000000001,193,345,0.5589999999999999,37,107,0.34600000000000003,2.1,2.4,39.6,So,5.44022,129.22,97.6,1.34663307,0.7074,0.3822,0.9111,91.0706,88.4891,4.59015,254.624,9.36629,6.08935,3.27694,35.3143,2.0,5.9714,7.9714,2.8857,1.4286,0.7143,18.0286,Wing F,0
1145,Kansas,B12,36,57.3,107.5,18.7,48.5,53.1,2.4,8.4,24.1,22.4,63,88,0.716,70,147,0.476,19,56,0.339,0.8,3.2,43.3,So,2.05467,110.334,87.2,1.98365206,0.5952,0.3175,1.0,96.4159,89.8801,2.92392,143.779,5.36163,3.3613800000000005,2.00025,23.0833,0.4722,1.9444,2.4167,3.3611,1.2778,0.1944,7.2222,Scoring PG,0
1146,Kansas,B12,36,64.1,104.5,21.0,51.9,56.22,1.4,6.5,27.4,26.8,82,114,0.7190000000000001,97,192,0.505,19,50,0.38,1.1,2.1,47.1,Jr,2.30632,109.503,87.2,1.69076605,0.6915,0.3265,1.0,97.0518,91.671,3.30864,161.357,2.93709,1.67067,1.26642,27.1389,0.3056,1.6389,1.9444,4.5556,1.0,0.2778,9.25,Scoring PG,0
1147,Kansas,B12,39,83.3,104.5,27.5,53.8,56.9,0.7,6.9,29.7,22.7,137,199,0.688,168,322,0.522,58,152,0.382,0.5,2.4,42.0,Sr,4.24976,121.123,87.2,1.34780267,0.6069,0.4561,1.0,96.1796,90.2504,4.17163,209.047,3.99496,3.4242800000000004,0.570678,33.4103,0.2051,2.1282,2.3333,4.7692,1.3333,0.1538,16.5897,Pure PG,0
1148,Kentucky,SEC,38,70.7,122.4,19.1,60.2,63.12,2.1,5.6,11.3,14.7,79,100,0.79,93,184,0.505,68,140,0.486,0.6,1.2,30.9,Fr,4.15457,127.271,95.4,1.24000614,0.6176,0.4397,,102.205,96.3872,2.99643,146.27700000000004,5.01347,5.335380000000002,-0.321913,28.3684,0.5,1.4737,1.9737,1.6316,0.5789,0.1579,12.3421,Combo G,0
1149,Kentucky,SEC,40,78.1,127.4,18.1,57.7,62.42,1.5,7.7,8.8,11.6,123,149,0.826,99,206,0.481,76,163,0.466,0.2,0.9,40.4,So,4.9904,130.406,95.4,1.36363633,0.6582,0.3701,,99.2084,94.3869,3.46308,165.412,6.1841800000000005,6.582489999999999,-0.398314,31.225,0.375,2.325,2.7,1.5,0.475,0.05,13.725,Wing G,0
1150,Virginia,ACC,28,68.5,111.5,18.8,54.9,58.72,13.5,16.6,5.7,19.1,63,85,0.741,109,198,0.551,2,6,0.333,1.2,1.8,41.7,So,2.90222,114.794,26.8,0.42857143,,,,101.364,95.1016,2.96295,147.643,4.06768,2.40931,1.6583599999999998,27.6429,3.3929,4.0357,7.4286,0.75,0.8571,0.3214,10.25,,0
1151,Virginia,NEC,32,89.3,100.0,22.1,49.1,56.63,1.6,10.3,34.1,26.6,125,153,0.8170000000000001,78,163,0.479,41,121,0.339,0.7,2.3,53.9,Jr,1.86097,99.5254,,1.47863903,0.5811,0.3647,,104.171,109.252,2.1375,202.31,-0.948471,0.8809600000000001,-1.82943,35.8438,0.5,3.4688,3.9688,5.4062,1.4062,0.25,12.625,Pure PG,0
1152,Virginia,ACC,28,61.4,104.5,24.9,51.1,53.45,9.8,21.6,11.4,15.2,46,64,0.7190000000000001,140,276,0.507,3,7,0.429,1.1,1.4,22.6,Jr,3.10087,117.376,26.8,0.76084972,0.6957,0.3727,0.875,97.7203,92.4721,3.21047,140.776,2.55812,1.20838,1.34975,27.4286,2.2857,4.8929,7.1786,1.25,0.6071,0.2857,11.9643,PF/C,0
1153,Virginia,NEC,29,91.4,99.8,23.8,46.7,53.5,2.9,12.7,27.5,23.8,121,149,0.812,65,178,0.365,60,154,0.39,0.6,2.5,44.9,Sr,2.22399,102.466,,1.22115334,0.5,0.2692,,105.596,108.197,2.37497,191.082,0.5872149999999999,1.54513,-0.957916,37.1724,1.0,4.2414,5.2414,4.3793,1.5862,0.2069,14.8621,Scoring PG,0
1154,Virginia,ACC,10,27.0,110.8,28.0,48.6,57.6,13.6,24.2,12.6,16.4,52,59,0.8809999999999999,52,109,0.477,1,1,1.0,2.5,0.6,53.6,Sr,4.64283,124.63,26.8,0.66666665,0.5098,0.4483,1.0,99.2856,98.4526,3.3297800000000004,59.4896,4.40187,2.53274,1.86913,33.7,3.8,6.4,10.2,1.6,0.3,0.7,15.9,PF/C,0
1155,Virginia,ACC,32,77.7,115.0,29.8,57.1,62.0,9.7,24.0,10.7,14.8,139,172,0.8079999999999999,209,362,0.5770000000000001,6,20,0.3,1.8,1.4,45.0,Sr,5.25359,133.035,26.8,0.55220175,0.7228,0.5231,0.9091,86.3756,83.8789,4.58281,193.92,5.98597,3.33859,2.64738,31.2188,2.1875,6.0938,8.2812,1.1562,0.6562,0.4688,17.9688,PF/C,0
1156,Virginia,WAC,33,55.7,104.6,22.3,47.4,49.78,2.7,10.3,22.4,13.6,36,49,0.735,89,183,0.486,25,84,0.298,0.4,2.0,18.4,Jr,1.3484200000000002,105.139,,1.97368658,0.5778,0.3978,,110.61,112.42,1.33364,120.21,-1.25714,0.876275,-2.13341,22.5152,0.5152,1.9697,2.4848,2.2727,0.7576,0.0909,8.7576,Combo G,0
1157,Virginia,BSky,28,74.7,119.7,25.2,53.1,56.56,1.4,10.9,36.1,13.1,73,95,0.768,92,182,0.505,52,138,0.377,0.9,2.5,29.7,Sr,3.83466,122.369,,3.31250007,0.6154,0.4444,,110.445,110.413,1.76239,152.172,4.16425,5.81511,-1.65085,30.0333,0.3667,2.8667,3.2333,5.3,1.2667,0.2,14.0,Pure PG,0
1158,Missouri,B12,38,36.0,101.6,22.4,48.3,51.55,3.7,8.6,13.0,17.4,42,58,0.7240000000000001,41,102,0.402,41,110,0.373,0.7,1.9,27.4,Fr,1.2814299999999998,109.921,74.8,1.07697554,,,,97.3198,93.1532,1.65402,92.2094,1.7361400000000002,2.02333,-0.287197,14.3947,0.5,1.1316,1.6316,1.1053,0.5,0.1053,6.5,,0
1159,Missouri,B12,34,59.7,99.8,28.6,47.9,51.72,3.8,11.7,9.8,17.1,95,131,0.725,88,213,0.413,68,184,0.37,0.4,3.1,33.0,So,2.52445,114.966,74.8,0.54932474,0.5152,0.3673,1.0,93.6307,89.0773,3.1017900000000003,158.834,1.59417,1.74798,-0.153803,24.0588,0.8529,2.5294,3.3824,1.1471,1.3235,0.0882,13.9706,Wing G,0
1160,Missouri,B12,33,63.3,94.7,21.3,44.0,49.03,2.1,11.3,12.6,20.3,77,106,0.726,53,144,0.368,46,133,0.34600000000000003,1.3,2.6,38.3,Jr,1.27252,99.4114,74.8,0.95455003,0.62,0.2366,1.0,100.273,96.1372,2.70503,154.096,0.537115,0.21572,0.321395,25.6061,0.4848,2.5152,3.0,1.9091,1.1818,0.3333,9.7273,Wing G,0
1161,Missouri,B12,35,83.6,120.8,18.9,64.0,65.84,3.4,11.9,8.6,16.0,87,120,0.725,93,158,0.589,78,170,0.459,0.9,2.3,36.6,Sr,4.48006,122.944,74.8,0.94916057,0.7681,0.4494,0.0,100.87,97.7854,3.31557,201.05900000000003,7.17425,6.4108,0.7634489999999999,33.5714,0.8571,3.3714,4.2286,1.6,1.2857,0.2857,14.4857,Wing G,0
1162,Louisiana State,B12,31,33.4,111.9,16.2,56.7,57.98,10.5,14.7,2.7,12.7,19,30,0.633,55,97,0.5670000000000001,0,0,0.0,4.3,0.4,30.9,Fr,1.15919,108.504,61.4,0.35717451,,,,101.342,96.9913,1.40018,74.0274,0.850044,-0.419091,1.26913,13.8387,1.1613,1.7742,2.9355,0.1613,0.0968,0.5484,4.1613,,0
